Epoch 0, Loss: 0.8920598335579081
Epoch 1, Loss: 0.8434765433700272
Epoch 2, Loss: 0.8080559069480602
Epoch 3, Loss: 0.7814521078009676
Epoch 4, Loss: 0.7609842798733203
Epoch 5, Loss: 0.7449284231277664
Epoch 6, Loss: 0.7321167346901308
Epoch 7, Loss: 0.7217762358829976
Epoch 8, Loss: 0.7133432315013701
Epoch 9, Loss: 0.7063896849780937
Epoch 10, Loss: 0.7005919754121243
Epoch 11, Loss: 0.6957040219841443
Epoch 12, Loss: 0.6915514351314803
Epoch 13, Loss: 0.687988053852539
Epoch 14, Loss: 0.6849263044408374
Epoch 15, Loss: 0.682278673388843
Epoch 16, Loss: 0.6799734617527707
Epoch 17, Loss: 0.6779503315516245
Epoch 18, Loss: 0.6761581984757042
Epoch 19, Loss: 0.6745537402651166
Epoch 20, Loss: 0.6731106701758258
Epoch 21, Loss: 0.6718092805742805
Epoch 22, Loss: 0.6706263522164478
Epoch 23, Loss: 0.6695422991174772
Epoch 24, Loss: 0.6685474789402638
Epoch 25, Loss: 0.6676267301461255
Epoch 26, Loss: 0.6667825662811816
Epoch 27, Loss: 0.6659953212535524
Epoch 28, Loss: 0.6652574999826011
Epoch 29, Loss: 0.6645619498567268
Epoch 30, Loss: 0.66390563858778
Epoch 31, Loss: 0.6632864136347704
Epoch 32, Loss: 0.6626982617437378
Epoch 33, Loss: 0.6621396251232787
Epoch 34, Loss: 0.6616093365375921
Epoch 35, Loss: 0.6611016799155545
Epoch 36, Loss: 0.6606118177328903
Epoch 37, Loss: 0.6601466230353236
Epoch 38, Loss: 0.6597010434338105
Epoch 39, Loss: 0.659274152872021
Epoch 40, Loss: 0.6588593659460128
Epoch 41, Loss: 0.6584578698089487
Epoch 42, Loss: 0.6580678462415618
Epoch 43, Loss: 0.6576929967044686
Epoch 44, Loss: 0.657332079188965
Epoch 45, Loss: 0.6569827707567356
Epoch 46, Loss: 0.6566430984222664
Epoch 47, Loss: 0.6563200087030953
Epoch 48, Loss: 0.6560064780085532
Epoch 49, Loss: 0.655703455379911
Accuracy: 0.0
Precision: 0.30319940476190477
Recall: 0.04086860723947702
F1 Score: 0.06995037524820477
Hamming Loss: 0.35125
