Epoch 0, Loss: 0.7486300066285559
Epoch 1, Loss: 0.7376848577731017
Epoch 2, Loss: 0.7292408284794647
Epoch 3, Loss: 0.7224998504437081
Epoch 4, Loss: 0.716950341568891
Epoch 5, Loss: 0.7122617091759491
Epoch 6, Loss: 0.7082151898435722
Epoch 7, Loss: 0.7046626215221741
Epoch 8, Loss: 0.7015016722911198
Epoch 9, Loss: 0.6986578143598888
Epoch 10, Loss: 0.6960773699136956
Epoch 11, Loss: 0.6937193624847049
Epoch 12, Loss: 0.691551978507661
Epoch 13, Loss: 0.689549625281692
Epoch 14, Loss: 0.6876917120689049
Epoch 15, Loss: 0.685961038049943
Epoch 16, Loss: 0.684343545545891
Epoch 17, Loss: 0.6828273019717065
Epoch 18, Loss: 0.6814015823743655
Epoch 19, Loss: 0.6800582798332792
Epoch 20, Loss: 0.6787897757469631
Epoch 21, Loss: 0.6775892740162794
Epoch 22, Loss: 0.6764509582828159
Epoch 23, Loss: 0.6753697245548884
Epoch 24, Loss: 0.6743412777126966
Epoch 25, Loss: 0.6733615835863046
Epoch 26, Loss: 0.6724268440384387
Epoch 27, Loss: 0.671533822650004
Epoch 28, Loss: 0.6706796952060785
Epoch 29, Loss: 0.6698620259294714
Epoch 30, Loss: 0.6690782810749631
Epoch 31, Loss: 0.6683260791616932
Epoch 32, Loss: 0.667603405173088
Epoch 33, Loss: 0.6669085853847079
Epoch 34, Loss: 0.6662399451772022
Epoch 35, Loss: 0.6655959820554691
Epoch 36, Loss: 0.6649751249642923
Epoch 37, Loss: 0.6643763029867352
Epoch 38, Loss: 0.6637983975142854
Epoch 39, Loss: 0.6632402215902115
Epoch 40, Loss: 0.6627005934472768
Epoch 41, Loss: 0.6621786908829322
Epoch 42, Loss: 0.6616737730916985
Epoch 43, Loss: 0.6611850318788902
Epoch 44, Loss: 0.660711751594053
Epoch 45, Loss: 0.6602532434065012
Epoch 46, Loss: 0.6598086140963855
Epoch 47, Loss: 0.6593772815997516
Epoch 48, Loss: 0.6589586751723889
Epoch 49, Loss: 0.6585522730765411
Accuracy: 0.005
Precision: 0.2837295465971936
Recall: 0.05178817360186984
F1 Score: 0.08636995026014253
Hamming Loss: 0.354375
